iter	R2	RMSE
0	0.0477683602	0.1384064858
1	0.09290956053	0.1350860282
2	0.1358659227	0.1318486551
3	0.1760270762	0.1287483312
4	0.2150746635	0.1256606529
5	0.2522694178	0.1226472204
6	0.287280358	0.119741447
7	0.3210884766	0.1168669549
8	0.3525793098	0.1141243785
9	0.3825431814	0.1114521456
10	0.4109203074	0.108860961
11	0.4385298955	0.106279244
12	0.4650779147	0.1037362161
13	0.4903166913	0.1012593986
14	0.5142700677	0.09885134243
15	0.536861931	0.09652512626
16	0.5585964216	0.09423300984
17	0.5790370107	0.09202526896
18	0.5989709828	0.08981999717
19	0.6173982182	0.08773212166
20	0.6354772573	0.08563424098
21	0.6529522084	0.08355641162
22	0.6691822814	0.08157921449
23	0.6845199313	0.07966564955
24	0.6994166315	0.07776203397
25	0.7136744304	0.0758953564
26	0.7268950516	0.07412247677
27	0.7396511428	0.07237073376
28	0.7518439657	0.07065575773
29	0.7633917507	0.06899221356
30	0.7744534856	0.06736017364
31	0.7848765459	0.06578532421
32	0.7949178781	0.0642316442
33	0.8046148928	0.06269470553
34	0.8137817552	0.06120631774
35	0.8224020013	0.05977287865
36	0.8307067328	0.05835861566
37	0.8385058346	0.05699851701
38	0.8458298887	0.05569102754
39	0.8530195646	0.05437695733
40	0.8598753514	0.05309362845
41	0.8663369953	0.05185501306
42	0.8725944117	0.0506266717
43	0.878500231	0.04943936275
44	0.8841537009	0.04827543771
45	0.8894457798	0.0471598919
46	0.8945500201	0.04605835137
47	0.8994080087	0.04498490844
48	0.9040184443	0.04394192014
49	0.9084442089	0.04291687071
50	0.9125985917	0.04193188183
51	0.916628695	0.04095372764
52	0.9204269377	0.04000996523
53	0.9240631097	0.03908512833
54	0.9275141398	0.03818666986
55	0.9309049891	0.03728279673
56	0.9340218922	0.03643217222
57	0.9370474418	0.035587037
58	0.9399221812	0.03476499863
59	0.9426578327	0.03396426257
60	0.9453300372	0.0331634365
61	0.94773926	0.03242447219
62	0.9501193229	0.03167752979
63	0.9523975049	0.0309456776
64	0.9545899036	0.03022465483
65	0.9566196509	0.02954143986
66	0.9585965381	0.02886047442
67	0.9604603571	0.02820340278
68	0.9622510328	0.02755736415
69	0.9639270823	0.02693864665
70	0.9655512953	0.02632519436
71	0.9671137858	0.02572125047
72	0.9685898668	0.02513738097
73	0.9699716004	0.0245782655
74	0.9713147564	0.02402229022
75	0.9725813138	0.02348596768
76	0.9737817716	0.02296607661
77	0.9749540954	0.02244675153
78	0.9760607109	0.02194526164
79	0.9771278979	0.02145053746
80	0.9781471883	0.02096712093
81	0.9791174666	0.02049635955
82	0.9800405129	0.02003825164
83	0.9809049089	0.01959954574
84	0.9817376379	0.01916741793
85	0.9825164662	0.01875425199
86	0.9832447143	0.01835950876
87	0.9839729548	0.01795609393
88	0.9846446413	0.01757580078
89	0.9853105612	0.01719046958
90	0.9859458643	0.0168146259
91	0.9865398337	0.01645547227
92	0.9870960269	0.01611190388
93	0.9876394829	0.01576897474
94	0.9881356103	0.01544926561
95	0.9886195418	0.01513090877
96	0.9890863913	0.01481730863
97	0.9895273425	0.01451488464
98	0.9899489529	0.01421971176
99	0.9903561114	0.01392872073
100	0.9907440935	0.01364566224
101	0.9911208778	0.01336503668
102	0.9914682957	0.01310095746
103	0.9918031463	0.01284129223
104	0.9921234758	0.01258787567
105	0.9924326764	0.01233832743
106	0.9927243205	0.01209823231
107	0.9930038785	0.01186352663
108	0.9932715967	0.01163432375
109	0.9935175533	0.01141969793
110	0.9937682872	0.01119666938
111	0.993995526	0.01099063091
112	0.9942188722	0.01078428665
113	0.9944294547	0.01058605124
114	0.994628457	0.01039524345
115	0.9948198169	0.01020840034
116	0.9950038591	0.01002541774
117	0.9951790765	0.009848050346
118	0.9953508287	0.00967103403
119	0.9955112589	0.009502708689
120	0.9956636037	0.009340059031
121	0.9958094753	0.009181620571
122	0.9959453512	0.00903153897
123	0.9960774688	0.008883177522
124	0.9962070771	0.008735185755
125	0.9963322684	0.008589816945
126	0.9964509338	0.008449717486
127	0.9965609835	0.008317681137
128	0.9966683806	0.008186774511
129	0.9967706049	0.00806019839
130	0.996866067	0.007940173466
131	0.9969595783	0.007820815687
132	0.9970444108	0.00771093737
133	0.9971324826	0.007595181719
134	0.9972121601	0.007488917666
135	0.9972897575	0.007383957946
136	0.9973644268	0.007281530625
137	0.9974372471	0.00718023243
138	0.9975058712	0.007083445889
139	0.9975698964	0.00699193747
140	0.9976331692	0.006900312257
141	0.9976909762	0.00681552544
142	0.9977481617	0.00673059935
143	0.9978023382	0.006649141368
144	0.9978555797	0.006568105074
145	0.9979062894	0.006489981637
146	0.9979555029	0.006413253273
147	0.9980030087	0.006338306347
148	0.9980456965	0.006270196444
149	0.9980868745	0.006203786807
150	0.9981266685	0.006138926834
151	0.9981650551	0.006075704652
152	0.9982040181	0.006010853189
153	0.9982401766	0.005950037238
154	0.9982733159	0.005893748265
155	0.9983087065	0.005833035623
156	0.9983417531	0.005775768015
157	0.998373418	0.005720356866
158	0.9984047975	0.005664910414
159	0.998433084	0.005614459988
160	0.9984630728	0.005560473662
161	0.9984907873	0.005510111289
162	0.9985152313	0.005465306739
163	0.9985403722	0.005418838345
164	0.9985631007	0.005376483351
