iter	R2	RMSE
165	0.9985853866	0.005334626634
166	0.9986053772	0.005296799358
167	0.9986271045	0.005255377084
168	0.9986470529	0.005217056628
169	0.9986671721	0.005178120827
170	0.9986856554	0.005142091046
171	0.9987039097	0.005106258175
172	0.9987195574	0.005075340638
173	0.9987364252	0.005041800076
174	0.9987527057	0.005009214175
175	0.9987682832	0.00497783575
176	0.9987835705	0.004946848597
177	0.9987983138	0.004916778827
178	0.9988124461	0.004887781773
179	0.9988264131	0.00485895381
180	0.998841229	0.004828185536
181	0.9988544099	0.004800646924
182	0.9988675956	0.004772939222
183	0.9988793593	0.004748083373
184	0.9988905277	0.004724364284
185	0.9989027566	0.004698255376
186	0.9989150095	0.004671949072
187	0.9989265332	0.004647072539
188	0.9989366579	0.004625105566
189	0.9989476853	0.004601060633
190	0.998957229	0.004580148975
191	0.9989669874	0.00455866791
192	0.9989754389	0.004539981352
193	0.9989854905	0.004517656426
194	0.9989935438	0.004499689715
195	0.9990032447	0.004477951913
196	0.9990100762	0.004462580102
197	0.9990186515	0.004443209334
198	0.9990267594	0.004424816261
199	0.9990348358	0.004406418408
200	0.999042139	0.004389715665
201	0.9990488692	0.004374266698
202	0.9990567725	0.004356055205
203	0.9990635526	0.004340370765
204	0.9990706404	0.004323913784
205	0.9990785223	0.004305539279
206	0.9990846793	0.004291131167
207	0.9990906921	0.00427701339
208	0.9990963429	0.004263703167
209	0.9991032031	0.004247488143
210	0.9991096774	0.004232128363
211	0.9991157446	0.004217683706
212	0.9991217967	0.004203225406
213	0.9991265515	0.004191831234
214	0.9991320742	0.004178557906
215	0.9991380876	0.004164057429
216	0.9991447323	0.004147975331
217	0.9991505023	0.004133959671
218	0.9991567539	0.004118720451
219	0.9991617478	0.004106506177
